Updated On,Total Doses Administered
16/01/2021,48276.0
17/01/2021,58604.0
18/01/2021,99449.0
19/01/2021,195525.0
20/01/2021,251280.0
21/01/2021,365965.0
22/01/2021,549381.0
23/01/2021,759008.0
24/01/2021,835058.0
25/01/2021,1277104.0
26/01/2021,1293784.0
27/01/2021,1726490.0
28/01/2021,2295491.0
29/01/2021,2814803.0
30/01/2021,3067736.0
31/01/2021,3127107.0
01/02/2021,3350265.0
02/02/2021,3527971.0
03/02/2021,3825835.0
04/02/2021,4314304.0
05/02/2021,4765924.0
06/02/2021,5111827.0
07/02/2021,5168099.0
08/02/2021,5615499.0
09/02/2021,6002474.0
10/02/2021,6462270.0
11/02/2021,6958553.0
12/02/2021,7423817.0
13/02/2021,7708211.0
14/02/2021,7732278.0
15/02/2021,8253651.0
16/02/2021,8577226.0
17/02/2021,9023239.0
18/02/2021,9338267.0
19/02/2021,10241508.0
20/02/2021,10619113.0
21/02/2021,10651012.0
22/02/2021,11243679.0
23/02/2021,11597768.0
24/02/2021,12042958.0
25/02/2021,12819074.0
26/02/2021,13560932.0
27/02/2021,13560983.0
28/02/2021,13561208.0
01/03/2021,13561208.0
02/03/2021,14533954.0
03/03/2021,15383883.0
04/03/2021,16535703.0
05/03/2021,17871673.0
06/03/2021,19170828.0
07/03/2021,19288666.0
08/03/2021,21038500.0
09/03/2021,18360243.0
10/03/2021,19538547.0
11/03/2021,19953987.0
12/03/2021,21772159.0
13/03/2021,23159604.0
14/03/2021,23317750.0
15/03/2021,25618250.0
16/03/2021,31870745.0
17/03/2021,36496020.0
18/03/2021,38770404.0
19/03/2021,41309219.0
20/03/2021,43877868.0
21/03/2021,44645372.0
22/03/2021,47204633.0
23/03/2021,49973152.0
24/03/2021,52216237.0
25/03/2021,54589220.0
26/03/2021,57021164.0
27/03/2021,59235436.0
28/03/2021,59557120.0
29/03/2021,60183064.0
30/03/2021,61990242.0
31/03/2021,63935590.0
01/04/2021,66361722.0
02/04/2021,70090836.0
03/04/2021,73112119.0
04/04/2021,76405697.0
05/04/2021,79439889.0
06/04/2021,82065337.0
07/04/2021,87100627.0
08/04/2021,91881530.0
09/04/2021,95583419.0
10/04/2021,99069354.0
11/04/2021,102000401.0
12/04/2021,105970539.0
13/04/2021,108598289.0
14/04/2021,111913288.0
15/04/2021,114598026.0
16/04/2021,117305344.0
17/04/2021,119971369.0
18/04/2021,121207098.0
19/04/2021,124457162.0
20/04/2021,127428887.0
21/04/2021,129646105.0
22/04/2021,132754608.0
23/04/2021,135658324.0
24/04/2021,138185956.0
25/04/2021,139185173.0
26/04/2021,142524947.0
27/04/2021,144879233.0
28/04/2021,147053392.0
29/04/2021,149268772.0
30/04/2021,151998107.0
01/05/2021,153626325.0
02/05/2021,154211511.0
03/05/2021,156082136.0
04/05/2021,157750752.0
05/05/2021,159931238.0
06/05/2021,162603603.0
07/05/2021,165190000.0
08/05/2021,167493857.0
09/05/2021,168304868.0
10/05/2021,171098918.0
11/05/2021,173862643.0
12/05/2021,176045577.0
13/05/2021,178361846.0
14/05/2021,179646413.0
15/05/2021,181544536.0
16/05/2021,182251006.0
17/05/2021,183817204.0
18/05/2021,185191602.0
19/05/2021,186410600.0
20/05/2021,187886885.0
21/05/2021,189344105.0
22/05/2021,190936859.0
23/05/2021,191877460.0
24/05/2021,194313920.0
25/05/2021,196463495.0
26/05/2021,198425615.0
27/05/2021,201438120.0
28/05/2021,204617572.0
29/05/2021,207796464.0
30/05/2021,208907723.0
31/05/2021,211778491.0
01/06/2021,214314522.0
02/06/2021,216858197.0
03/06/2021,219831571.0
04/06/2021,223642281.0
05/06/2021,227162503.0
06/06/2021,228624578.0
07/06/2021,232063488.0
08/06/2021,234952618.0
09/06/2021,238440129.0
10/06/2021,241846863.0
11/06/2021,245411955.0
12/06/2021,249033094.0
13/06/2021,250656362.0
14/06/2021,254653040.0
15/06/2021,257605528.0
16/06/2021,261118468.0
17/06/2021,264537245.0
18/06/2021,267951571.0
19/06/2021,271833642.0
20/06/2021,275018693.0
21/06/2021,283891764.0
22/06/2021,289961746.0
23/06/2021,296892521.0
24/06/2021,303426850.0
25/06/2021,309802519.0
26/06/2021,316535775.0
27/06/2021,318473492.0
28/06/2021,323836329.0
29/06/2021,327685422.0
30/06/2021,330553623.0
01/07/2021,334913220.0
02/07/2021,339447068.0
03/07/2021,346054022.0
04/07/2021,347766247.0
05/07/2021,352412289.0
06/07/2021,356192949.0
07/07/2021,
08/07/2021,
09/07/2021,
10/07/2021,
11/07/2021,
12/07/2021,
13/07/2021,
14/07/2021,
15/07/2021,
16/07/2021,
17/07/2021,
16/01/2021,23.0
17/01/2021,23.0
18/01/2021,42.0
19/01/2021,89.0
20/01/2021,124.0
